DEPT    .M    ,RMG     .none ,RMN     .none ,RMN-RMG,CAL     .none ,SP      .none,GR      .none ,HAC     .none,BHC     .none,DEN     .none
854.069,3.006,2.768,-0.238,24.567,102.487,104.66,435.999,389.208,2.265
854.119,3.134,2.927,-0.207,24.126,102.487,105.64,414.423,381.357,2.301
854.169,3.077,3.155,0.078,23.606,102.487,106.523,353.007,365.923,2.339
854.219,4.19,4.148,-0.042,23.195,102.348,107.405,319.781,361.167,2.356
854.269,6.399,5.239,-1.16,22.965,102.209,108.78,274.362,360.154,2.354
854.319,6.54,4.885,-1.655,23.014,102.279,110.741,281.095,368.645,2.35
854.369,4.598,3.896,-0.702,23.385,102.209,112.604,303.098,374.626,2.353
854.419,3.344,3.322,-0.022,23.931,102.001,113.389,363.233,382.851,2.336
854.469,3.04,2.869,-0.171,24.455,101.931,113.389,411.728,381.625,2.313
854.519,2.806,2.511,-0.295,24.804,101.931,113.193,424.036,378.041,2.293
854.569,2.666,2.474,-0.192,24.911,101.931,113.291,419.549,369.016,2.289
854.619,2.887,2.647,-0.24,24.839,102.001,114.076,410.256,366.293,2.291
854.669,2.849,2.567,-0.282,24.681,102.07,113.782,398.614,367.895,2.29
854.719,2.693,2.456,-0.237,24.495,102.001,112.703,397.543,371.259,2.294
854.769,2.798,2.589,-0.209,24.337,101.931,111.427,399.573,381.306,2.295
854.819,2.842,2.66,-0.182,24.212,101.931,109.661,399.251,386.006,2.299
854.869,2.839,2.603,-0.236,24.075,102.001,107.504,394.124,392.414,2.302
854.919,2.698,2.499,-0.199,23.978,102.07,105.935,391.026,394.871,2.306
854.969,2.422,2.392,-0.03,24.022,102.001,105.738,388.249,397.435,2.307
855.019,2.523,2.503,-0.02,24.19,101.931,105.836,390.284,397.382,2.301
855.069,2.994,2.764,-0.23,24.369,102.07,105.15,402.673,395.673,2.294
855.119,3.141,2.827,-0.314,24.48,102.209,103.875,413.248,396.047,2.286
855.169,3.062,2.77,-0.292,24.466,102.07,101.717,415.17,397.916,2.278
855.219,2.937,2.624,-0.313,24.338,101.862,99.756,414.423,402.571,2.275
855.269,2.624,2.38,-0.244,24.181,101.792,99.167,412.286,407.679,2.273
855.319,2.442,2.334,-0.108,24.029,101.862,99.363,412.286,410.615,2.269
855.369,2.67,2.641,-0.029,23.85,101.931,98.97,408.974,413.974,2.264
855.419,3.004,2.864,-0.14,23.627,101.931,97.303,405.45,415.441,2.264
855.469,3.08,2.714,-0.366,23.421,101.931,95.832,396.799,416.47,2.267
855.519,3.009,2.589,-0.42,23.335,101.931,96.323,395.409,416.443,2.271
855.569,2.951,2.607,-0.344,23.433,101.931,97.892,402.138,415.539,2.265
855.619,2.842,2.54,-0.302,23.599,101.931,100.049,407.158,414.507,2.271
855.669,2.579,2.341,-0.238,23.612,102.001,102.991,414.849,412.554,2.263
855.719,2.341,2.171,-0.17,23.467,102.07,106.619,416.452,411.031,2.277
855.769,2.18,2.078,-0.102,23.276,102.001,110.939,416.346,408.12,2.281
855.819,2.151,2.041,-0.11,23.104,102.001,115.646,415.812,408.707,2.287
855.869,2.182,2.02,-0.162,22.99,102.209,118.49,414.209,409.455,2.291
855.919,2.12,1.996,-0.124,22.93,102.417,119.961,410.044,409.722,2.302
855.969,2.067,2.02,-0.047,22.901,102.487,120.157,407.587,409.936,2.317
856.019,2.118,2.059,-0.059,22.915,102.487,120.255,404.273,411.806,2.327
856.069,2.109,2.085,-0.024,22.985,102.487,119.765,404.06,413.568,2.333
856.119,1.849,2.074,0.225,23.014,102.487,118.882,405.556,412.981,2.336
856.169,1.763,2.069,0.306,22.959,102.487,117.803,410.362,409.67,2.348
856.219,2.011,2.168,0.157,22.921,102.487,117.313,412.713,407.747,2.353
856.269,2.167,2.259,0.092,22.975,102.557,116.233,415.599,405.448,2.352
856.319,2.15,2.224,0.074,23.059,102.765,115.351,416.025,404.968,2.342
856.369,2.15,2.169,0.019,23.035,102.834,114.664,412.286,404.273,2.332
856.419,2.37,2.307,-0.063,22.878,102.626,113.488,410.043,404.487,2.324
856.469,2.765,2.594,-0.171,22.707,102.556,112.997,407.266,404.327,2.313
